tract,drywells,domwells,ratio,CESscoreP,tenpercbins,lat,long
6097152802,0,53,0,55,50%-60%,-122.7356597,38.4651445
6097152502,0,85,0,14,10%-20%,-122.6641385,38.4784138
6097152000,0,12,0,46,40%-50%,-122.713301,38.4416422
6085511302,0,1,0,11,10%-20%,-122.1622059,37.4480602
6085511704,0,14,0,10,0%-10%,-122.1409467,37.3611924
6085503324,0,2,0,13,10%-20%,-121.7892724,37.3276397
6085503305,0,8,0,62,60%-70%,-121.8146764,37.3198698
6085508703,0,1,0,27,20%-30%,-122.0110417,37.3697819
6097151800,0,27,0,8,0%-10%,-122.6913822,38.4427045
6097151402,0,454,0,56,50%-60%,-122.701255,38.3933392
6097153102,0,1,0,62,60%-70%,-122.7216605,38.4201079
6097152801,0,114,0,45,40%-50%,-122.7503889,38.4828618
6097153600,0,1304,0,28,20%-30%,-122.8881919,38.4205809
6097153401,0,320,0,30,20%-30%,-122.842325,38.4129715
6097153200,0,307,0,76,70%-80%,-122.7284015,38.3880499
6097153501,0,1329,0,13,10%-20%,-122.794423,38.3374068
6097153003,0,3,0,63,60%-70%,-122.7383565,38.4340254
6097153002,0,36,0,70,60%-70%,-122.7327641,38.4410975
6097153001,0,141,0,51,50%-60%,-122.7367431,38.4509389
6097152903,0,5,0,40,30%-40%,-122.7481349,38.4573447
6097152702,0,308,0,47,40%-50%,-122.7912911,38.5043031
6097152600,0,881,0,5,0%-10%,-122.6369331,38.5260666
6113010608,0,8,0,53,50%-60%,-121.7210564,38.5422965
6113011206,1,748,0.001336898,61,60%-70%,-121.6576581,38.6961871
6113011300,2,277,0.007220217,35,30%-40%,-122.0245787,38.5786038
6113010602,0,1,0,36,30%-40%,-121.7359246,38.5482761
6099002503,0,13,0,90,80%-90%,-120.9580147,37.584981
6099000510,0,27,0,92,90%-100%,-121.0809748,37.6930984
6099002701,0,51,0,76,70%-80%,-120.951749,37.6156323
6099000906,0,10,0,60,50%-60%,-120.9324338,37.6596108
6099002802,10,479,0.020876827,83,80%-90%,-120.8368597,37.6638136
6099000302,0,12,0,86,80%-90%,-120.9473005,37.7365049
6099000506,1,14,0.071428571,70,60%-70%,-121.0036408,37.7001655
6099003001,0,171,0,72,70%-80%,-120.9179827,37.6018409
6099000505,0,13,0,63,60%-70%,-121.0220586,37.701155
6089011209,0,48,0,26,20%-30%,-122.347675,40.5520369
6089010806,0,7,0,21,20%-30%,-122.3804645,40.6379428
6089012603,1,1227,0.000814996,27,20%-30%,-121.7413167,40.4793626
6089012101,0,185,0,38,30%-40%,-122.3051577,40.4613796
6089011001,0,75,0,22,20%-30%,-122.4511152,40.5171512
6089011702,0,4,0,32,30%-40%,-122.3702773,40.6711236
6089011701,0,7,0,3,0%-10%,-122.3597887,40.6628518
6089011802,0,290,0,8,0%-10%,-122.2824461,40.661072
6089011801,0,82,0,1,0%-10%,-122.2544681,40.6178721
6089011403,0,213,0,9,0%-10%,-122.3147793,40.5547633
6089010805,0,72,0,17,10%-20%,-122.3138239,40.5793577
6099003002,1,183,0.005464481,82,80%-90%,-120.949917,37.5641562
6089010803,0,30,0,17,10%-20%,-122.3564969,40.6025623
6089010703,0,7,0,22,20%-30%,-122.3690432,40.5992831
6089010602,0,3,0,24,20%-30%,-122.4214715,40.5830808
6089010601,0,1,0,12,10%-20%,-122.4129541,40.5631564
6089012102,0,196,0,55,50%-60%,-122.2692975,40.455518
6089011402,0,100,0,2,0%-10%,-122.3229123,40.5431529
6089011803,0,197,0,15,10%-20%,-122.2860952,40.7399422
6089011703,0,15,0,16,10%-20%,-122.3698759,40.6925227
6089010807,0,13,0,8,0%-10%,-122.3425603,40.6326814
6089011002,0,30,0,61,60%-70%,-122.3976532,40.5381994
6089010603,0,32,0,30,20%-30%,-122.4542412,40.5813595
6089010804,0,44,0,6,0%-10%,-122.3243173,40.6092572
6089010704,0,4,0,17,10%-20%,-122.3934125,40.6148623
6099002902,1,175,0.005714286,77,70%-80%,-120.8727904,37.6029399
6089012601,0,1615,0,15,10%-20%,-121.994176,40.8731168
6089010702,0,43,0,5,0%-10%,-122.4132103,40.6042154
6089012500,0,445,0,20,10%-20%,-122.3666461,40.9866263
6089011300,0,10,0,23,20%-30%,-122.3356287,40.5666835
6089011100,0,81,0,33,30%-40%,-122.369751,40.5222011
6089010500,0,2,0,49,40%-50%,-122.4026832,40.575283
6089010400,0,176,0,44,40%-50%,-122.3786783,40.5512553
6089010200,0,3,0,32,30%-40%,-122.3762226,40.5821764
6089012303,0,650,0,18,10%-20%,-122.343672,40.4075321
6089012302,0,320,0,25,20%-30%,-122.4406002,40.4595005
6089012200,0,489,0,59,50%-60%,-122.24336,40.4132639
6089012000,0,29,0,37,30%-40%,-122.2988508,40.4294831
6089011900,0,705,0,6,0%-10%,-122.2576122,40.5229657
6089011600,0,59,0,19,10%-20%,-122.4184426,40.6694846
6089011500,0,708,0,32,30%-40%,-122.3121275,40.5037744
6089010900,0,62,0,30,20%-30%,-122.3669299,40.5566945
6089010300,0,22,0,29,20%-30%,-122.3475829,40.5744659
6089012301,0,155,0,55,50%-60%,-122.352295,40.4748672
6081984300,0,1,0,0,0%-10%,-122.3768614,37.6147578
6081610900,0,1,0,35,30%-40%,-122.2320282,37.47659
6105000200,1,369,0.002710027,9,0%-10%,-123.2441079,40.8228066
6001437800,0,1,0,43,40%-50%,-122.0686965,37.6431464
6087110501,0,1,0,62,60%-70%,-121.7707927,36.9206611
6087110502,0,3,0,41,40%-50%,-121.769617,36.9300262
6087110100,0,3,0,61,60%-70%,-121.7415569,36.9224854
6087110700,0,14,0,42,40%-50%,-121.7939493,36.9384816
6087100700,0,3,0,19,10%-20%,-122.0288693,36.9772909
6087122203,0,3,0,1,0%-10%,-121.8784677,36.9574068
6087122202,0,7,0,4,0%-10%,-121.873767,36.9631315
6087121402,0,1,0,27,20%-30%,-121.9783864,36.9761783
6087121700,0,6,0,17,10%-20%,-121.9654587,36.974907
6087122003,0,35,0,11,10%-20%,-121.9249795,36.9870654
6087122100,0,5,0,15,10%-20%,-121.913426,36.9717451
6087121600,0,1,0,12,10%-20%,-121.9700357,36.9597176
6087120900,0,220,0,7,0%-10%,-122.0142312,37.0741254
6087101200,0,2,0,27,20%-30%,-122.0613064,36.9536393
6087120800,0,114,0,11,10%-20%,-122.0312516,37.0239056
6087100500,0,2,0,28,20%-30%,-122.0639731,36.9701968
6087100400,0,12,0,11,10%-20%,-122.0590224,36.9911069
6087122002,0,164,0,2,0%-10%,-121.8654863,37.0227547
6087120400,0,109,0,10,0%-10%,-122.1354489,37.1289134
6087120302,0,32,0,11,10%-20%,-122.0886342,37.080028
6087120700,0,39,0,13,10%-20%,-122.0633466,37.0197696
6087122400,0,537,0,14,10%-20%,-121.7979629,37.001101
6087100800,0,1,0,21,20%-30%,-122.0156066,36.9739622
6087120301,0,187,0,4,0%-10%,-122.091668,37.0994152
6087100100,0,15,0,2,0%-10%,-121.9990254,36.9957924
6087121300,0,20,0,18,10%-20%,-121.9775807,36.9968265
6087100200,0,2,0,34,30%-40%,-122.0105554,36.9847446
6087120600,0,107,0,5,0%-10%,-122.0465656,37.0960709
6087122001,0,155,0,3,0%-10%,-121.9240389,37.0237015
6087121000,0,683,0,3,0%-10%,-121.9115725,37.0900016
6087121100,0,232,0,5,0%-10%,-121.9607648,37.0433747
6087121200,0,376,0,12,10%-20%,-121.9940956,37.0305521
6087100300,0,3,0,33,30%-40%,-122.0424812,36.9946098
6087120500,0,478,0,9,0%-10%,-122.0929441,37.1646713
6087122201,0,24,0,15,10%-20%,-121.8771977,36.9736247
6095980000,0,2,0,0,0%-10%,-121.9456515,38.2544515
6095253404,0,4,0,45,40%-50%,-121.8314911,38.4598591
6095253204,0,21,0,48,40%-50%,-121.9869787,38.3825661
6095252912,0,10,0,13,10%-20%,-121.9443575,38.3572485
6095253403,0,27,0,30,20%-30%,-121.8516301,38.4286407
6095253206,0,34,0,21,20%-30%,-121.9742566,38.3962812
6095252911,0,17,0,36,30%-40%,-121.9443944,38.3695164
6095252915,0,23,0,21,20%-30%,-121.9245995,38.3191193
6095252611,0,8,0,53,50%-60%,-122.013868,38.2638928
6095252317,0,19,0,57,50%-60%,-121.9719091,38.290379
6095252312,0,3,0,36,30%-40%,-122.0561706,38.2753544
6095252313,0,13,0,36,30%-40%,-122.0262174,38.303698
6095252310,0,55,0,11,10%-20%,-122.084367,38.29468
6095250605,0,1,0,39,30%-40%,-122.2027379,38.0700529
6095250106,0,3,0,25,20%-30%,-122.1822552,38.1382068
6095251903,0,1,0,37,30%-40%,-122.2282174,38.1478379
6095251901,0,1,0,75,70%-80%,-122.2405897,38.1366028
6095251702,0,1,0,38,30%-40%,-122.2687139,38.1220821
6095251400,0,1,0,55,50%-60%,-122.23956,38.1237134
6095251300,0,1,0,42,40%-50%,-122.235826,38.1146854
6095251200,0,9,0,65,60%-70%,-122.2365335,38.1052893
6095252105,0,1,0,18,10%-20%,-122.1828721,38.0801267
6095250300,0,3,0,47,40%-50%,-122.2235833,38.1048774
6095252108,0,2,0,20,10%-20%,-122.1630224,38.0608147
6095252104,0,1,0,38,30%-40%,-122.1640059,38.0900638
6095252102,0,14,0,57,50%-60%,-122.1071716,38.0870969
6095252103,0,2,0,28,20%-30%,-122.1916422,38.1048794
6095253300,1,608,0.001644737,58,50%-60%,-121.7998024,38.4198882
6095250701,0,2,0,87,80%-90%,-122.2449025,38.0900421
6095250601,0,1,0,61,60%-70%,-122.225778,38.0820079
6095250502,0,1,0,41,40%-50%,-122.2038733,38.089461
6095250501,0,30,0,26,20%-30%,-122.2138705,38.0932268
6095253107,0,24,0,50,40%-50%,-121.9790495,38.3420876
6095253108,0,14,0,45,40%-50%,-122.0008642,38.3288304
6095253105,0,3,0,40,30%-40%,-121.9670749,38.3539248
6095253000,0,1,0,0,0%-10%,-121.9787847,38.3206557
6095252909,0,4,0,38,30%-40%,-121.9249586,38.3446313
6095253203,0,13,0,25,20%-30%,-121.9967931,38.3622036
6095253201,0,13,0,15,10%-20%,-122.0115118,38.3703216
6095253101,0,36,0,51,50%-60%,-122.0063092,38.3505074
6095252910,0,10,0,13,10%-20%,-121.9444369,38.3401253
6095252904,0,825,0,61,60%-70%,-121.9310061,38.4043615
6095252903,0,1253,0,45,40%-50%,-122.0352498,38.4381951
6095253500,0,192,0,74,70%-80%,-121.7715997,38.2050259
6095252705,0,4,0,27,20%-30%,-121.9964026,38.2500177
6095252704,0,2,0,43,40%-50%,-122.014721,38.2490976
6095252908,0,1,0,18,10%-20%,-121.956931,38.342413
6095252605,0,3,0,64,60%-70%,-122.0396821,38.2655647
6095252502,0,1,0,61,60%-70%,-122.0449333,38.2470347
6095252501,0,3,0,58,50%-60%,-122.0412776,38.2547036
6095252401,0,1,0,62,60%-70%,-122.0580588,38.2534089
6095252707,0,3,0,50,40%-50%,-122.0011752,38.2600765
6095252706,0,1,0,36,30%-40%,-121.9778302,38.2580217
6095252402,0,1,0,74,70%-80%,-122.0693691,38.2204068
6095252306,0,4,0,24,20%-30%,-122.0643005,38.2655712
6095252305,0,51,0,42,40%-50%,-122.0937986,38.2199882
6095251802,0,2,0,76,70%-80%,-122.2570455,38.1261466
6095252202,0,17,0,39,30%-40%,-122.1486859,38.1649825
6095253402,0,36,0,53,50%-60%,-121.8169166,38.4428124
6103000500,0,57,0,54,50%-60%,-122.2577045,40.1970846
6103000800,6,731,0.008207934,59,50%-60%,-122.1795281,40.0733075
6103000700,0,152,0,64,60%-70%,-122.2426817,40.1524476
6103000400,2,1862,0.001074114,49,40%-50%,-122.338894,40.2367374
6029005004,0,1,0,67,60%-70%,-119.235974,35.770351
6113010512,0,1,0,13,10%-20%,-121.7731005,38.5524621
6113010312,0,19,0,35,30%-40%,-121.552211,38.5444338
6113010310,0,103,0,47,40%-50%,-121.5770403,38.5451518
6113010302,0,30,0,46,40%-50%,-121.5334072,38.5450814
6113011103,0,26,0,21,20%-30%,-121.7516431,38.670029
6113010605,0,3,0,7,0%-10%,-121.6965388,38.5598935
6113011001,0,58,0,36,30%-40%,-121.7897061,38.673205
6113010902,0,17,0,39,30%-40%,-121.788585,38.6811985
6113011101,0,4,0,40,30%-40%,-121.7701616,38.6701812
6113010800,0,56,0,58,50%-60%,-121.7607119,38.6846131
6113010510,0,11,0,22,20%-30%,-121.7588849,38.5764422
6113010204,0,9,0,81,80%-90%,-121.5324616,38.5777831
6113010101,0,1,0,80,70%-80%,-121.5170147,38.5922085
6113010203,0,29,0,93,90%-100%,-121.563721,38.5637651
6113010703,0,5,0,22,20%-30%,-121.7633288,38.5536311
6113010701,0,1,0,29,20%-30%,-121.7458161,38.5512036
6113010508,0,7,0,21,20%-30%,-121.7984692,38.5541301
6113010505,1,250,0.004,10,0%-10%,-121.7446437,38.5944095
6113010606,0,2,0,13,10%-20%,-121.722018,38.5558571
6113010607,0,17,0,17,10%-20%,-121.7025621,38.5403403
6113010501,0,35,0,52,50%-60%,-121.7849011,38.5369569
6113011205,0,19,0,12,10%-20%,-121.7378154,38.6699365
6067004005,0,2,0,25,20%-30%,-121.5350905,38.5100755
6067003400,0,1,0,50,40%-50%,-121.5088949,38.5121908
6107000702,0,4,0,65,60%-70%,-119.10036,36.4201875
6107000202,33,192,0.171875,85,80%-90%,-119.2556351,36.6023032
6107001602,40,227,0.176211454,81,80%-90%,-119.2194823,36.2781982
6107000502,8,119,0.067226891,87,80%-90%,-119.3924612,36.5293483
6107000600,27,113,0.238938053,77,70%-80%,-119.259301,36.4957832
6107001502,12,76,0.157894737,57,50%-60%,-119.1467114,36.285001
6107002009,1,23,0.043478261,63,60%-70%,-119.3440073,36.3172622
6107001701,0,2,0,84,80%-90%,-119.2871757,36.3199506
6107001302,8,45,0.177777778,82,80%-90%,-119.2516114,36.3354354
6115040303,0,19,0,48,40%-50%,-121.5423602,39.1207198
6115040302,0,36,0,79,70%-80%,-121.5709108,39.1277084
6115040301,0,24,0,66,60%-70%,-121.5380858,39.1329043
6115040800,0,183,0,51,50%-60%,-121.4340275,39.0409023
6115040600,0,40,0,59,50%-60%,-121.5468773,39.0841363
6115040500,0,22,0,70,60%-70%,-121.5535692,39.1003669
6115040200,0,4,0,66,60%-70%,-121.5739716,39.158116
6115040100,0,49,0,82,80%-90%,-121.5942461,39.1515257
6115040700,0,173,0,56,50%-60%,-121.5531096,39.017754
6115040400,0,91,0,87,80%-90%,-121.5826165,39.0999148
6107001601,1,6,0.166666667,76,70%-80%,-119.203884,36.3027536
6107001301,9,141,0.063829787,64,60%-70%,-119.2517367,36.3597158
6107001400,50,396,0.126262626,49,40%-50%,-119.1202602,36.3259261
6107000402,1,13,0.076923077,68,60%-70%,-119.3860655,36.5529114
6107002602,0,1,0,67,60%-70%,-119.0817133,36.2125439
6107002903,0,4,0,63,60%-70%,-119.3208345,36.203971
6107000401,5,99,0.050505051,87,80%-90%,-119.3857111,36.5617547
6107002203,1,2,0.5,64,60%-70%,-119.3755912,36.2182393
6107003501,9,55,0.163636364,52,50%-60%,-119.0847036,36.0906458
6107003502,40,112,0.357142857,72,70%-80%,-119.0549135,36.0930135
6107002204,1,13,0.076923077,70,60%-70%,-119.3587288,36.2183676
6107002002,0,8,0,60,50%-60%,-119.3228298,36.3200435
6107002003,0,11,0,73,70%-80%,-119.3226585,36.3056613
6107001100,0,3,0,83,80%-90%,-119.3005779,36.3379779
6107001005,0,17,0,57,50%-60%,-119.3587347,36.3345065
6107001003,4,90,0.044444444,77,70%-80%,-119.3547493,36.3512901
6107002006,5,48,0.104166667,52,50%-60%,-119.3866306,36.3125416
6107003002,0,5,0,75,70%-80%,-119.3660695,36.1909171
6107002303,1,5,0.2,71,70%-80%,-119.3438407,36.2256444
6107002904,0,12,0,73,70%-80%,-119.3214124,36.1899328
6107002302,0,2,0,59,50%-60%,-119.3219739,36.2189133
6107002601,2,8,0.25,73,70%-80%,-119.1045232,36.2136987
6107003902,133,284,0.468309859,81,80%-90%,-118.9780019,36.0952673
6107004102,25,30,0.833333333,90,80%-90%,-119.0245203,36.0455672
6107001704,3,58,0.051724138,62,60%-70%,-119.2649465,36.298584
6107002901,0,4,0,95,90%-100%,-119.3370033,36.196369
6107002004,4,16,0.25,54,50%-60%,-119.3405353,36.3055269
6107003801,1,12,0.083333333,69,60%-70%,-119.0322513,36.0713873
6107003601,0,4,0,59,50%-60%,-119.0618557,36.0730814
6107001703,1,46,0.02173913,63,60%-70%,-119.2516321,36.3197797
6107003602,0,18,0,71,70%-80%,-119.0478137,36.0667198
6107000701,12,143,0.083916084,73,70%-80%,-119.0856162,36.3947015
6107001004,0,4,0,83,80%-90%,-119.2957398,36.3521706
6107000201,13,63,0.206349206,88,80%-90%,-119.2875202,36.5436858
6107002800,3,12,0.25,79,70%-80%,-119.0940852,36.1948818
6107003901,211,82,2.573170732,79,70%-80%,-118.9982663,36.0619829
6107004101,6,48,0.125,82,80%-90%,-119.0217027,36.0577198
6107000501,0,4,0,93,90%-100%,-119.3859943,36.5384542
